gene,stability_score
CTSS,0.1
MYCN,0.1
CD68,0.1
MMP7,0.1
L1CAM,0.1
PARM1,0.1
TAGLN,0.1
C12orf75,0.1
ITGA2,0.1
ZG16B,0.1
CPLX2,0.1
PPP1R13L,0.1
JAG2,0.1
C1orf210,0.1
CLIC3,0.1
ITGB3,0.1
ARHGEF6,0.1
SORBS2,0.1
EVL,0.1
HLA-DMA,0.1
LHFPL6,0.1
SLCO3A1,0.1
ARHGAP8,0.1
CXXC5,0.1
TBX3,0.1
NEXN,0.1
SLC35D2,0.1
IGFBP5,0.1
CFI,0.1
MTUS1,0.1
TMT1A,0.1
ICA1,0.1
FLI1,0.1
NMI,0.1
ECM1,0.1
TMEM158,0.1
PDLIM2,0.1
MAGED1,0.1
PARVA,0.1
ITM2A,0.1
ITGB6,0.1
KRT18,0.1
CSRP2,0.1
WNT7B,0.1
ASPHD1,0.1
ETV1,0.1
RASGRP2,0.1
SEMA3A,0.1
DENND2D,0.1
EFNA1,0.1
TMEM265,0.1
SH2D4A,0.1
PODXL2,0.1
SOX2,0.1
SLC7A8,0.1
KLK11,0.1
CD99,0.1
JAG1,0.1
SIRPA,0.1
TNFRSF21,0.1
APOBEC3B,0.1
THBD,0.1
RAB13,0.1
EPS8,0.1
MSRB3,0.1
MYO1B,0.1
CXCL16,0.1
EMP2,0.1
TCL1A,0.1
KITLG,0.1
OCLN,0.1
GPR39,0.1
SMO,0.1
HLA-DMB,0.1
MYADM,0.1
KCNG1,0.1
MT1F,0.1
PPP1R14A,0.1
TGFBR2,0.1
LTB,0.1
CD40,0.1
MUC4,0.1
BGN,0.1
IL1R1,0.1
ALCAM,0.1
MACROH2A2,0.1
CD55,0.1
TMEM54,0.1
STAP2,0.1
RIMKLB,0.1
KCNN4,0.1
EVPL,0.1
THY1,0.1
FAM83A,0.1
ITGA3,0.1
CYBRD1,0.1
TNFRSF10D,0.1
AKR1C1,0.1
CA8,0.1
TGFA,0.1
ID3,0.1
RPL39L,0.1
GNG2,0.1
MT-ND6,0.1
DTNA,0.1
AEBP1,0.1
MYO5C,0.1
COL4A2,0.1
GABARAPL1,0.1
ADRB2,0.1
ETS1,0.1
MFAP4,0.1
MYRF,0.1
XAF1,0.1
PRR15,0.1
TRIM2,0.1
RNF182,0.1
SERPINH1,0.1
NEFL,0.1
TSPAN8,0.1
ISYNA1,0.1
BHLHE40,0.1
STRA6,0.1
PKP1,0.1
NTS,0.1
SYK,0.1
TNFRSF11B,0.1
AFAP1L1,0.1
SPN,0.1
BLK,0.1
TCEAL3,0.1
TRIP6,0.1
HPDL,0.1
AJUBA,0.1
BEX3,0.1
PCDH1,0.1
GJB5,0.1
SNAP25,0.1
KCTD15,0.1
PKP2,0.1
NEDD9,0.1
AGR3,0.075
MGST1,0.075
ISG20,0.075
ARSL,0.075
SEPTIN1,0.075
ENPP2,0.075
EPHB4,0.075
PIK3AP1,0.075
UACA,0.075
HHEX,0.075
PRNP,0.075
SNX10,0.075
HLA-DQB1,0.075
SEZ6L2,0.075
STARD10,0.075
CHI3L2,0.075
KRT20,0.075
ADGRE5,0.075
VSNL1,0.075
BARX1,0.075
PRR5L,0.075
CDKN2A,0.075
LGR4,0.075
TEAD2,0.075
ACP5,0.075
GSTA4,0.075
DLX5,0.075
RRAGD,0.075
AFAP1L2,0.075
EPHB2,0.075
GABRB3,0.075
LCP2,0.075
ECHDC2,0.075
SDC3,0.075
AZGP1,0.075
KIAA1217,0.075
PLK2,0.075
HNMT,0.075
NDRG1,0.075
ZNF83,0.075
PPIC,0.075
FLNC,0.075
IFI6,0.075
ZEB2,0.075
CRABP2,0.075
CD82,0.075
PLTP,0.075
HCLS1,0.075
LIMCH1,0.075
FXYD6,0.075
CYFIP2,0.075
FERMT3,0.075
CNRIP1,0.075
MYH14,0.075
DOCK2,0.075
ESRP1,0.075
GPRC5C,0.075
P2RY2,0.075
TSPAN1,0.075
HOXC10,0.075
CD48,0.075
SERPINE2,0.075
INHBA,0.075
SHROOM3,0.075
SERPINB1,0.075
TC2N,0.075
GPC1,0.075
PPP1R1B,0.075
AIF1,0.075
DDR1,0.075
IL1A,0.075
LY6E,0.075
VGF,0.075
HLA-DPA1,0.075
PKDCC,0.075
VWA1,0.075
KRT17,0.075
RHOH,0.075
PRTFDC1,0.075
BCHE,0.075
PPL,0.075
GATA3,0.075
COL7A1,0.075
RAB31,0.075
TM4SF4,0.075
CD109,0.075
PSMB9,0.075
GLIPR1,0.075
PAX5,0.075
STMN3,0.075
FCMR,0.075
HLA-DPB1,0.075
ZNF677,0.075
SPRR2D,0.075
KRT80,0.075
LOX,0.075
LAMB1,0.075
CSTA,0.075
EREG,0.075
A2M,0.075
C15orf48,0.075
EIF1AY,0.075
CTBP2,0.075
MDK,0.075
GPNMB,0.075
EPS8L2,0.075
TNFAIP2,0.075
DPYD,0.075
TFPI,0.075
TGFBI,0.075
TSPAN4,0.075
FGFBP1,0.075
PTGES,0.075
MT2A,0.075
TGFB1,0.075
VCAN,0.075
FSTL3,0.075
MALL,0.075
